Zadatak 7
x              y            dy
-5.000     6.326     0.94257
-4.500     5.706     0.85015
-4.000     5.352     0.79752
-3.500     4.241     0.63187
-3.000     4.295     0.63989
-2.500     3.014     0.44907
-2.000     2.782     0.41452
-1.500     2.465     0.36732
-1.000     2.353     0.35066
-0.500     1.179     0.17571
0.000     0.919     0.13700
0.500     0.605     0.09018
1.000     0.454     0.06772
1.500     -0.645     -0.09611
2.000     -0.858     -0.12785
2.500     -1.552     -0.23132
3.000     -1.619     -0.24117
3.500     -2.160     -0.32177
4.000     -2.875     -0.42837
4.500     -3.538     -0.52719
5.000     -4.240     -0.63178
